taxon,precision-native_rf,recall-native_rf,f1-native_rf,precision-mobilenet_pca50_rf,recall-mobilenet_pca50_rf,f1-mobilenet_pca50_rf,precision-mobilenet600,recall-mobilenet600,f1-mobilenet600,precision-effnetv2s,recall-effnetv2s,f1-effnetv2s
Rhabdonellidae,0.5706521739130435,0.5706521739130435,0.5706521739130435,0.9176470588235294,0.8478260869565217,0.8813559322033897,0.8938547486033519,0.8695652173913043,0.8815426997245179,0.943502824858757,0.907608695652174,0.9252077562326869
Rhizosoleniaceae,0.4479283314669653,0.3952569169960474,0.41994750656167984,0.8047337278106509,0.8063241106719368,0.805528134254689,0.7603603603603604,0.83399209486166,0.7954759660697456,0.8431734317343174,0.9031620553359684,0.8721374045801528
Thalassionematales,0.2986111111111111,0.3282442748091603,0.3127272727272727,0.9140625,0.8931297709923665,0.9034749034749036,0.8601398601398601,0.9389312977099237,0.8978102189781021,0.8928571428571429,0.9541984732824428,0.922509225092251
Tintinnidiidae,0.43825665859564167,0.4258823529411765,0.431980906921241,0.9245742092457421,0.8941176470588236,0.9090909090909091,0.8963133640552995,0.9152941176470588,0.9057043073341093,0.9026548672566371,0.96,0.9304446978335232
Tintinnina,0.6923076923076923,0.1267605633802817,0.21428571428571425,0.6595744680851063,0.43661971830985913,0.5254237288135594,0.5396825396825397,0.4788732394366197,0.5074626865671641,0.639344262295082,0.5492957746478874,0.5909090909090909
Undellidae,0.8421052631578947,0.1553398058252427,0.26229508196721313,0.8787878787878788,0.8446601941747572,0.8613861386138614,0.8653846153846154,0.8737864077669902,0.8695652173913043,0.978494623655914,0.883495145631068,0.9285714285714286
Xystonellidae,1.0,0.037037037037037035,0.07142857142857142,0.6666666666666666,0.6296296296296297,0.6476190476190475,0.640625,0.7592592592592593,0.6949152542372882,0.7272727272727273,0.8888888888888888,0.7999999999999999
artefact,0.3868020304568528,0.6990825688073394,0.4980392156862745,0.9246031746031746,0.8550458715596331,0.8884652049571019,0.8568904593639576,0.8899082568807339,0.873087308730873,0.8115702479338843,0.9009174311926605,0.8539130434782608
darkrods,0.8421052631578947,0.3779527559055118,0.5217391304347826,0.6904761904761905,0.6850393700787402,0.6877470355731226,0.518324607329843,0.7795275590551181,0.6226415094339622,0.5454545454545454,0.8031496062992126,0.6496815286624203
darksphere,0.5851648351648352,0.83203125,0.6870967741935483,0.8509803921568627,0.84765625,0.8493150684931506,0.7418300653594772,0.88671875,0.8078291814946619,0.7450980392156863,0.890625,0.8113879003558718
detritus,0.9074279819061979,0.9300122000813339,0.9185812982005142,0.9735169062563271,0.9776738511590077,0.9755909505934868,0.983882328568469,0.9656771045140301,0.974694715238584,0.9865442917064662,0.9660431069540464,0.9761860732704597
diatoma_chainlarge,1.0,0.109375,0.19718309859154928,0.8571428571428571,0.84375,0.8503937007874015,0.7916666666666666,0.890625,0.8382352941176471,0.8169014084507042,0.90625,0.8592592592592593
diatoma_chainthin,0.4939759036144578,0.155893536121673,0.23699421965317916,0.8431372549019608,0.8174904942965779,0.8301158301158301,0.7956989247311828,0.844106463878327,0.8191881918819187,0.825,0.8783269961977186,0.8508287292817678
lightrods,0.7024390243902439,0.5255474452554745,0.6012526096033403,0.7941712204007286,0.7956204379562044,0.7948951686417502,0.7783505154639175,0.8266423357664233,0.8017699115044248,0.7412698412698413,0.8521897810218978,0.7928692699490661
lightsphere,0.8073913043478261,0.9421613394216134,0.8695855771482088,0.9302093718843469,0.9467275494672754,0.9383957757103345,0.9048076923076923,0.9548452562151192,0.9291532954825968,0.91650390625,0.9523084728564181,0.9340631998009455
other_Crustacea,0.44860234445446345,0.8050161812297735,0.5761436016213086,0.8713096139288418,0.9312297734627831,0.90027375831052,0.9073770491803279,0.8956310679611651,0.9014657980456027,0.9116963594113091,0.9522653721682848,0.9315393747526711
other_egg,0.6666666666666666,0.08,0.14285714285714285,0.7619047619047619,0.64,0.6956521739130435,0.6521739130434783,0.6,0.6250000000000001,0.7407407407407407,0.8,0.7692307692307692
other_living,0.6909492273730684,0.38217338217338215,0.4921383647798742,0.7579365079365079,0.6996336996336996,0.7276190476190476,0.6998813760379596,0.7203907203907204,0.7099879663056559,0.7151230949589683,0.7448107448107448,0.7296650717703349
part_Ciliophora,0.0,0.0,0.0,0.85,0.7391304347826086,0.7906976744186046,0.6071428571428571,0.7391304347826086,0.6666666666666666,0.8,0.8695652173913043,0.8333333333333333
pennate,0.75,0.1056338028169014,0.1851851851851852,0.8307692307692308,0.7605633802816901,0.7941176470588235,0.8357142857142857,0.823943661971831,0.8297872340425531,0.927007299270073,0.8943661971830986,0.910394265232975
