taxon,precision-native_rf,recall-native_rf,f1-native_rf,precision-mobilenet_pca50_rf,recall-mobilenet_pca50_rf,f1-mobilenet_pca50_rf,precision-mobilenet600,recall-mobilenet600,f1-mobilenet600,precision-effnetv2s,recall-effnetv2s,f1-effnetv2s,grouped
Euchaetidae,0.1439917127071823,0.40922473012757604,0.21302681992337164,0.9403714565004888,0.9440628066732091,0.9422135161606269,0.937682570593963,0.9450441609421001,0.9413489736070381,0.9572815533980582,0.9676153091265947,0.9624206930209858,Copepoda
Eumalacostraca,0.5249587458745875,0.7370402548508543,0.6131791350439706,0.9087267525035765,0.9197799015348972,0.9142199194012666,0.9241176470588235,0.9099333912539821,0.9169706697796586,0.9478817433709235,0.9006660874601795,0.9236709236709236,Eumalacostraca
Eumalacostraca potentially protozoea,0.41346153846153844,0.19111111111111112,0.2613981762917933,0.8127659574468085,0.8488888888888889,0.8304347826086956,0.7272727272727273,0.9244444444444444,0.8140900195694716,0.7544483985765125,0.9422222222222222,0.8379446640316205,Eumalacostraca
Evadne,0.6946022727272727,0.09774135518688787,0.1713684948309094,0.9641442155309033,0.9728163102138717,0.9684608496666999,0.9659608153572136,0.9756146312212672,0.970763723150358,0.9714001986097319,0.9776134319408355,0.9744969117354054,Cladocera
Foraminifera,0.24517374517374518,0.27078891257995735,0.2573454913880446,0.9100877192982456,0.8848614072494669,0.8972972972972972,0.8596491228070176,0.9402985074626866,0.8981670061099797,0.8839103869653768,0.9253731343283582,0.9041666666666668,Rhizaria
Fritillariidae,0.640625,0.18021978021978022,0.281303602058319,0.9077615298087739,0.8868131868131868,0.8971650917176208,0.8868852459016393,0.8917582417582418,0.8893150684931507,0.874807593637763,0.9368131868131868,0.9047492703634916,Appendicularia
Gymnosomata,0.6428571428571429,0.569620253164557,0.6040268456375839,0.9594594594594594,0.8987341772151899,0.9281045751633986,0.9390243902439024,0.9746835443037974,0.9565217391304348,0.95,0.9620253164556962,0.9559748427672956,Mollusca
Haloptilus,0.2647058823529412,0.39803439803439805,0.3179587831207066,0.9818652849740933,0.9312039312039312,0.9558638083228248,0.9601990049751243,0.9484029484029484,0.9542645241038318,0.972568578553616,0.9582309582309583,0.9653465346534654,Copepoda
Harosa,0.4,0.00819672131147541,0.016064257028112452,0.7642276422764228,0.7704918032786885,0.7673469387755102,0.6907216494845361,0.8237704918032787,0.7514018691588785,0.6492307692307693,0.8647540983606558,0.7416520210896308,Harosa
Harpacticoida,1.0,0.001201923076923077,0.0024009603841536613,0.9464052287581699,0.8701923076923077,0.9067000626174077,0.9384236453201971,0.9158653846153846,0.927007299270073,0.9261904761904762,0.9350961538461539,0.930622009569378,Copepoda
Heterorhabdidae,0.0,0.0,0.0,0.8739495798319328,0.8788732394366198,0.8764044943820225,0.801452784503632,0.9323943661971831,0.8619791666666667,0.859375,0.9295774647887324,0.8930987821380243,Copepoda
Hydrozoa,0.16113744075829384,0.11744386873920552,0.13586413586413587,0.7988165680473372,0.6994818652849741,0.7458563535911602,0.7685352622061483,0.7340241796200345,0.7508833922261484,0.8272552783109405,0.7443868739205527,0.7836363636363637,other_Cnidaria
Hyperiidea,0.4166666666666667,0.1903114186851211,0.26128266033254155,0.9145907473309609,0.889273356401384,0.9017543859649124,0.9403508771929825,0.9273356401384083,0.9337979094076655,0.9366197183098591,0.9204152249134948,0.9284467713787086,Amphipoda
Insecta,0.1803921568627451,0.5443786982248521,0.2709867452135493,0.9692307692307692,0.7455621301775148,0.8428093645484951,0.8987341772151899,0.8402366863905325,0.8685015290519877,0.9245283018867925,0.8698224852071006,0.8963414634146342,Insecta
Isopoda,0.7066666666666667,0.6385542168674698,0.6708860759493671,1.0,0.9759036144578314,0.9878048780487805,0.9540229885057471,1.0,0.976470588235294,0.9651162790697675,1.0,0.9822485207100593,Isopoda
Limacinidae,0.6441005802707931,0.1575958353052532,0.2532319391634981,0.9607193563653573,0.9607193563653573,0.9607193563653573,0.9674952198852772,0.9578797917652626,0.9626634958382877,0.9570637119113573,0.9810695693327023,0.9689179714886655,Mollusca
Liriope<Geryoniidae,0.0,0.0,0.0,0.8125,0.38235294117647056,0.52,0.7931034482758621,0.6764705882352942,0.7301587301587301,0.8888888888888888,0.7058823529411765,0.7868852459016393,Trachylina
Metridinidae,0.15002124946876327,0.14473144731447316,0.14732888146911516,0.9533721898417985,0.938909389093891,0.9460855195207601,0.9458572600492207,0.9454694546945469,0.9456633176132868,0.9502427184466019,0.9630996309963099,0.9566279780085523,Copepoda
Mysida,0.9285714285714286,0.65,0.7647058823529412,0.989247311827957,0.7666666666666667,0.8638497652582161,0.9719626168224299,0.8666666666666667,0.9162995594713657,0.9734513274336283,0.9166666666666666,0.944206008583691,Eumalacostraca
Neoceratium,0.0,0.0,0.0,0.9411764705882353,0.9056603773584906,0.923076923076923,0.8360655737704918,0.9622641509433962,0.8947368421052632,0.8947368421052632,0.9622641509433962,0.9272727272727272,Alveolata
Noctiluca,0.7008,0.44693877551020406,0.5457943925233645,0.9015444015444015,0.9530612244897959,0.9265873015873015,0.8313253012048193,0.9857142857142858,0.9019607843137254,0.8794848206071757,0.9755102040816327,0.9250120948234155,Alveolata
Obelia,0.20512820512820512,0.16326530612244897,0.1818181818181818,0.943089430894309,0.7891156462585034,0.8592592592592593,0.8785714285714286,0.8367346938775511,0.8571428571428572,0.8791946308724832,0.891156462585034,0.8851351351351352,other_Cnidaria
Oikopleuridae,0.3177788721989658,0.5196295550634186,0.39437695775078313,0.9431336963097399,0.9416146567344473,0.9423735643763852,0.9626148705096074,0.9279243003825247,0.9449513070220401,0.9552026063938098,0.9444332595127843,0.9497874063575622,Appendicularia
