taxon,precision-native_rf,recall-native_rf,f1-native_rf,precision-mobilenet_pca50_rf,recall-mobilenet_pca50_rf,f1-mobilenet_pca50_rf,precision-mobilenet600,recall-mobilenet600,f1-mobilenet600,precision-effnetv2s,recall-effnetv2s,f1-effnetv2s,grouped
Copepoda,1.0,0.02857142857142857,0.05555555555555556,0.5217391304347826,0.34285714285714286,0.4137931034482759,0.42105263157894735,0.22857142857142856,0.2962962962962963,0.5757575757575758,0.5428571428571428,0.5588235294117646,Copepoda
Coscinodiscaceae,0.5874822190611664,0.6693679092382496,0.6257575757575757,0.7974068071312804,0.7974068071312804,0.7974068071312804,0.7931034482758621,0.7828200972447326,0.7879282218597063,0.8428805237315876,0.8346839546191248,0.8387622149837134,Coscinodiscaceae
Cyttarocylididae,0.5769230769230769,0.3125,0.4054054054054054,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.8431372549019608,0.8958333333333334,0.8686868686868686,0.8958333333333334,0.8958333333333334,0.8958333333333334,Cyttarocylididae
Dactyliosolen,0.0,0.0,0.0,1.0,0.15384615384615385,0.2666666666666667,0.47058823529411764,0.6153846153846154,0.5333333333333333,0.75,0.46153846153846156,0.5714285714285714,Rhizosoleniaceae
Dictyocysta,0.875,0.2,0.32558139534883723,0.9655172413793104,0.8,0.8750000000000001,0.7619047619047619,0.9142857142857143,0.8311688311688312,0.9142857142857143,0.9142857142857143,0.9142857142857143,Dictyocystidae
Dinophyceae,0.48148148148148145,0.22195121951219512,0.30383973288814686,0.6651162790697674,0.697560975609756,0.680952380952381,0.6674876847290641,0.6609756097560976,0.6642156862745098,0.7289002557544757,0.6951219512195121,0.7116104868913857,Dinophyceae
Dinophysis,0.0,0.0,0.0,0.5882352941176471,0.43478260869565216,0.5,0.44,0.4782608695652174,0.4583333333333333,0.5384615384615384,0.6086956521739131,0.5714285714285715,Dinophysiales
Ditylum,0.6944444444444444,0.2032520325203252,0.31446540880503143,0.905511811023622,0.9349593495934959,0.9199999999999999,0.92,0.9349593495934959,0.9274193548387097,0.9426229508196722,0.9349593495934959,0.9387755102040818,Ditylum
Eutintinnus,0.2777777777777778,0.33980582524271846,0.30567685589519655,0.9411764705882353,0.9320388349514563,0.9365853658536586,0.9065420560747663,0.941747572815534,0.9238095238095239,0.9428571428571428,0.9611650485436893,0.951923076923077,Tintinnidiidae
Foraminifera,0.0,0.0,0.0,0.7352941176470589,0.7142857142857143,0.7246376811594202,0.6190476190476191,0.7428571428571429,0.6753246753246753,0.7352941176470589,0.7142857142857143,0.7246376811594202,Retaria
Fragilariopsis,0.0,0.0,0.0,1.0,0.6153846153846154,0.761904761904762,0.8571428571428571,0.9230769230769231,0.888888888888889,0.8,0.9230769230769231,0.8571428571428571,Fragilariopsis
Guinardia,0.55,0.22448979591836735,0.3188405797101449,0.6379310344827587,0.7551020408163265,0.6915887850467289,0.6862745098039216,0.7142857142857143,0.7000000000000001,0.71875,0.9387755102040817,0.8141592920353982,Rhizosoleniaceae
Gymnodiniales,0.0,0.0,0.0,0.25,0.03125,0.05555555555555555,0.43478260869565216,0.3125,0.36363636363636365,0.5,0.5,0.5,Gymnodiniales
Hemiaulus,0.0,0.0,0.0,0.5833333333333334,0.65625,0.6176470588235293,0.7,0.65625,0.6774193548387096,0.5957446808510638,0.875,0.7088607594936708,Hemiaulus
Katagnymene spiralis,0.0,0.0,0.0,1.0,0.5625,0.72,0.6086956521739131,0.875,0.717948717948718,0.7,0.875,0.7777777777777777,Bacteria
Melosiraceae,0.7949561403508771,0.9539473684210527,0.8672248803827751,0.9374217772215269,0.9855263157894737,0.9608723540731238,0.9715832205683356,0.9447368421052632,0.9579719813208806,0.9603580562659847,0.9881578947368421,0.9740596627756162,Melosiraceae
Metacylis,0.0,0.0,0.0,0.6428571428571429,0.6923076923076923,0.6666666666666666,0.4444444444444444,0.9230769230769231,0.6,0.5238095238095238,0.8461538461538461,0.6470588235294118,Metacylididae
Nassellaria,0.0,0.0,0.0,0.746268656716418,0.6410256410256411,0.6896551724137931,0.7380952380952381,0.7948717948717948,0.7654320987654322,0.7894736842105263,0.7692307692307693,0.7792207792207793,Retaria
Neoceratium,0.2883895131086142,0.39690721649484534,0.33405639913232105,0.9318181818181818,0.845360824742268,0.8864864864864865,0.9114583333333334,0.9020618556701031,0.9067357512953368,0.9776536312849162,0.9020618556701031,0.938337801608579,Gonyaulacales
Neoceratium furca,0.8571428571428571,0.1016949152542373,0.18181818181818182,0.8181818181818182,0.9152542372881356,0.8640000000000001,0.796875,0.864406779661017,0.8292682926829269,0.9473684210526315,0.9152542372881356,0.9310344827586206,Gonyaulacales
